# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 8, 8, 16, 5.08428, 3.6599e-05
hpce.fast_fourier_transform, 8, 8, 19, 3.74151, 1.0389e-05
hpce.fast_fourier_transform, 8, 8, 22, 2.7268, 6.705e-06
hpce.fast_fourier_transform, 8, 8, 26, 3.69267, 7.392e-06
hpce.fast_fourier_transform, 8, 8, 32, 5.12512, 6.971e-06
hpce.fast_fourier_transform, 8, 8, 38, 10.1649, 1.5325e-05
hpce.fast_fourier_transform, 8, 8, 45, 4.59897, 1.1677e-05
hpce.fast_fourier_transform, 8, 8, 53, 6.24848, 1.3035e-05
hpce.fast_fourier_transform, 8, 8, 64, 8.48267, 1.3657e-05
hpce.fast_fourier_transform, 8, 8, 76, 0.649002, 2.3384e-05
hpce.fast_fourier_transform, 8, 8, 90, 6.17745, 2.7068e-05
hpce.fast_fourier_transform, 8, 8, 107, 4.0058, 2.7734e-05
hpce.fast_fourier_transform, 8, 8, 128, 6.99139, 2.8972e-05
hpce.fast_fourier_transform, 8, 8, 152, 12.8346, 5.2958e-05
hpce.fast_fourier_transform, 8, 8, 181, 3.00734, 5.5583e-05
hpce.fast_fourier_transform, 8, 8, 215, 3.89364, 5.9557e-05
hpce.fast_fourier_transform, 8, 8, 256, 7.77228, 6.3682e-05
hpce.fast_fourier_transform, 8, 8, 304, 6.2474, 0.000117191
hpce.fast_fourier_transform, 8, 8, 362, 12.3514, 0.000113377
hpce.fast_fourier_transform, 8, 8, 430, 11.1336, 0.000132717
hpce.fast_fourier_transform, 8, 8, 512, 6.38456, 0.000139041
hpce.fast_fourier_transform, 8, 8, 608, 18.3453, 0.000319974
hpce.fast_fourier_transform, 8, 8, 724, 6.05831, 0.000255641
hpce.fast_fourier_transform, 8, 8, 861, 5.95193, 0.000305355
hpce.fast_fourier_transform, 8, 8, 1024, 15.0743, 0.000302749
hpce.fast_fourier_transform, 8, 8, 1217, 25.349, 0.000554983
hpce.fast_fourier_transform, 8, 8, 1448, 22.9566, 0.00054337
hpce.fast_fourier_transform, 8, 8, 1722, 15.9214, 0.000682046
hpce.fast_fourier_transform, 8, 8, 2048, 50.2559, 0.000963716
hpce.fast_fourier_transform, 8, 8, 2435, 31.2571, 0.00074783
hpce.fast_fourier_transform, 8, 8, 2896, 13.6187, 0.00071784
hpce.fast_fourier_transform, 8, 8, 3444, 16.7054, 0.000519013
hpce.fast_fourier_transform, 8, 8, 4096, 41.5433, 0.000495907
hpce.fast_fourier_transform, 8, 8, 4870, 84.8676, 0.000695881
hpce.fast_fourier_transform, 8, 8, 5792, 20.4682, 0.000648628
hpce.fast_fourier_transform, 8, 8, 6888, 44.0272, 0.000722379
hpce.fast_fourier_transform, 8, 8, 8192, 105.398, 0.000978481
hpce.fast_fourier_transform, 8, 8, 9741, 50.2525, 0.00156382
hpce.fast_fourier_transform, 8, 8, 11585, 102.396, 0.00154738
hpce.fast_fourier_transform, 8, 8, 13777, 48.408, 0.00165835
hpce.fast_fourier_transform, 8, 8, 16384, 83.2001, 0.00159246
hpce.fast_fourier_transform, 8, 8, 19483, 75.1435, 0.00328317
hpce.fast_fourier_transform, 8, 8, 23170, 57.7327, 0.00305861
hpce.fast_fourier_transform, 8, 8, 27554, 131.97, 0.0040915
hpce.fast_fourier_transform, 8, 8, 32768, 114.539, 0.00344625
hpce.fast_fourier_transform, 8, 8, 38967, 204.035, 0.00626995
hpce.fast_fourier_transform, 8, 8, 46340, 106.822, 0.00700602
hpce.fast_fourier_transform, 8, 8, 55108, 91.965, 0.00701084
hpce.fast_fourier_transform, 8, 8, 65536, 61.2098, 0.00822101
hpce.fast_fourier_transform, 8, 8, 77935, 232.701, 0.0162546
hpce.fast_fourier_transform, 8, 8, 92681, 34.833, 0.0148273
hpce.fast_fourier_transform, 8, 8, 110217, 158.456, 0.0164508
hpce.fast_fourier_transform, 8, 8, 131072, 343.686, 0.0171805
hpce.fast_fourier_transform, 8, 8, 155871, 106.199, 0.0356193
hpce.fast_fourier_transform, 8, 8, 185363, 146.588, 0.0351877
hpce.fast_fourier_transform, 8, 8, 220435, 118.499, 0.039619
hpce.fast_fourier_transform, 8, 8, 262144, 313.594, 0.0493254
hpce.fast_fourier_transform, 8, 8, 311743, 382.887, 0.0809433
hpce.fast_fourier_transform, 8, 8, 370727, 280.517, 0.0808172
hpce.fast_fourier_transform, 8, 8, 440871, 118.337, 0.0905262
hpce.fast_fourier_transform, 8, 8, 524288, 309.047, 0.0959214
hpce.fast_fourier_transform, 8, 8, 623487, 655.52, 0.166876
hpce.fast_fourier_transform, 8, 8, 741455, 96.6169, 0.173523
hpce.fast_fourier_transform, 8, 8, 881743, 161.942, 0.191842
hpce.fast_fourier_transform, 8, 8, 1048576, 550.877, 0.205475
hpce.fast_fourier_transform, 8, 8, 1246974, 103.408, 0.352914
hpce.fast_fourier_transform, 8, 8, 1482910, 265.466, 0.37111
