# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16, 5.08428, 1.1489e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19, 3.74151, 2.63e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 22, 2.7268, 1.58e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 26, 3.69267, 1.886e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32, 5.12512, 1.692e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38, 10.1649, 3.866e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 45, 4.59897, 2.84e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 53, 6.24848, 3.263e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 64, 8.48267, 3.356e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 76, 0.649002, 5.752e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 90, 6.17745, 6.68e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 107, 4.0058, 6.707e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 128, 6.99139, 7.196e-06
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 152, 12.8346, 1.3123e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 181, 3.00734, 1.3737e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 215, 3.89364, 1.4555e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 256, 7.77228, 1.572e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 304, 6.2474, 2.9233e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 362, 12.3514, 2.8103e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 430, 11.1336, 3.294e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 512, 6.38456, 3.4513e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 608, 18.3453, 7.3103e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 724, 6.05831, 6.467e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 861, 5.95193, 7.3461e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1024, 15.0743, 0.00013309
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1217, 25.349, 0.000912994
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1448, 22.9566, 0.000625962
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1722, 15.9214, 0.000688275
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2048, 50.2559, 0.000705996
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2435, 31.2571, 0.000466683
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2896, 13.6187, 0.000345934
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3444, 16.7054, 0.000424226
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4096, 41.5433, 0.000291301
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4870, 84.8676, 0.000394859
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 5792, 20.4682, 0.000382665
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 6888, 44.0272, 0.000414801
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 8192, 105.398, 0.000505688
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 9741, 50.2525, 0.000942404
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 11585, 102.396, 0.000660615
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 13777, 48.408, 0.00080967
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16384, 83.2001, 0.000638561
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19483, 75.1435, 0.00126738
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 23170, 57.7327, 0.00143779
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 27554, 131.97, 0.00153359
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32768, 114.539, 0.00127659
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38967, 204.035, 0.00329076
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 46340, 106.822, 0.00301808
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 55108, 91.965, 0.00289097
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 65536, 61.2098, 0.00280129
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 77935, 232.701, 0.00572717
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 92681, 34.833, 0.00641707
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 110217, 158.456, 0.00735591
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 131072, 343.686, 0.00568313
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 155871, 106.199, 0.0123004
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 185363, 146.588, 0.0118469
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 220435, 118.499, 0.0123847
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 262144, 313.594, 0.0114759
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 311743, 382.887, 0.0289883
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 370727, 280.517, 0.0255719
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 440871, 118.337, 0.0266379
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 524288, 309.047, 0.0281235
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 623487, 655.52, 0.0562724
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 741455, 96.6169, 0.0567224
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 881743, 161.942, 0.0604271
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1048576, 550.877, 0.0610616
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1246974, 103.408, 0.121043
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1482910, 265.466, 0.125219
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1763487, 1022.81, 0.144962
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2097152, 1672.13, 0.143185
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2493948, 1085.24, 0.268938
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2965820, 473.371, 0.28855
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3526975, 836.634, 0.309277
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4194304, 1679.33, 0.303482
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4987896, 768.932, 0.566349
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 5931641, 559.983, 0.593641
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 7053950, 1307.88, 0.658678
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 8388608, 2882.48, 0.640099
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 9975792, 3553.85, 1.18044
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 11863283, 1940.72, 1.26602
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 14107900, 1159.23, 1.33395
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16777216, 3402.48, 1.30403
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19951584, 2187.89, 2.46545
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 23726566, 3263.95, 2.60129
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 28215801, 3521.84, 2.81203
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 33554432, 4734.21, 2.77182
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 39903169, 1428.68, 5.31651
