# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16, 5.08428, 0.000158376
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19, 3.74151, 7.6983e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 22, 2.7268, 7.0407e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 26, 3.69267, 9.5862e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32, 5.12512, 7.8857e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38, 10.1649, 0.000361701
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 45, 4.59897, 0.00026834
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 53, 6.24848, 0.000127008
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 64, 8.48267, 0.000186932
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 76, 0.649002, 0.000175715
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 90, 6.17745, 0.000169733
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 107, 4.0058, 0.000219182
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 128, 6.99139, 0.000173416
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 152, 12.8346, 0.000174783
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 181, 3.00734, 0.000213318
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 215, 3.89364, 0.000261028
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 256, 7.77228, 0.000192074
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 304, 6.2474, 0.00030964
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 362, 12.3514, 0.000334824
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 430, 11.1336, 0.000368676
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 512, 6.38456, 0.000384945
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 608, 18.3453, 0.00121311
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 724, 6.05831, 0.00021641
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 861, 5.95193, 0.000253021
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1024, 15.0743, 0.000237938
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1217, 25.349, 0.000364682
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1448, 22.9566, 0.000386884
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1722, 15.9214, 0.000367104
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2048, 50.2559, 0.000311164
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2435, 31.2571, 0.000570137
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2896, 13.6187, 0.000539883
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3444, 16.7054, 0.000730017
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4096, 41.5433, 0.000749209
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4870, 84.8676, 0.00120122
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 5792, 20.4682, 0.00144942
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 6888, 44.0272, 0.00178422
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 8192, 105.398, 0.00136158
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 9741, 50.2525, 0.00211242
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 11585, 102.396, 0.00218996
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 13777, 48.408, 0.00253199
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16384, 83.2001, 0.00239473
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19483, 75.1435, 0.00388813
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 23170, 57.7327, 0.00396271
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 27554, 131.97, 0.00540505
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32768, 114.539, 0.0045815
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38967, 204.035, 0.00738264
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 46340, 106.822, 0.00755665
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 55108, 91.965, 0.00987191
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 65536, 61.2098, 0.0100436
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 77935, 232.701, 0.0152733
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 92681, 34.833, 0.0164338
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 110217, 158.456, 0.0192774
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 131072, 343.686, 0.0167122
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 155871, 106.199, 0.0349805
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 185363, 146.588, 0.035863
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 220435, 118.499, 0.0396486
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 262144, 313.594, 0.0413004
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 311743, 382.887, 0.0618751
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 370727, 280.517, 0.0641006
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 440871, 118.337, 0.080377
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 524288, 309.047, 0.0739722
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 623487, 655.52, 0.139727
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 741455, 96.6169, 0.148888
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 881743, 161.942, 0.186452
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1048576, 550.877, 0.192668
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1246974, 103.408, 0.334119
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1482910, 265.466, 0.304668
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1763487, 1022.81, 0.381503
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2097152, 1672.13, 0.375134
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2493948, 1085.24, 0.577702
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2965820, 473.371, 0.61485
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3526975, 836.634, 0.75984
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4194304, 1679.33, 0.725895
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4987896, 768.932, 1.25184
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 5931641, 559.983, 1.29089
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 7053950, 1307.88, 1.56069
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 8388608, 2882.48, 1.45989
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 9975792, 3553.85, 2.52573
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 11863283, 1940.72, 2.61139
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 14107900, 1159.23, 3.15872
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16777216, 3402.48, 3.14752
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19951584, 2187.89, 5.23825
