# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16, 5.08428, 4.3789e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19, 3.74151, 1.2743e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 22, 2.7268, 1.0958e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 26, 3.69267, 1.5233e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32, 5.12512, 1.2542e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38, 10.1649, 2.1562e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 45, 4.59897, 2.139e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 53, 6.24848, 2.9559e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 64, 8.48267, 2.632e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 76, 0.649002, 4.3963e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 90, 6.17745, 4.3163e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 107, 4.0058, 5.7517e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 128, 6.99139, 5.3918e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 152, 12.8346, 0.000123004
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 181, 3.00734, 8.8443e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 215, 3.89364, 0.000119292
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 256, 7.77228, 0.000108792
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 304, 6.2474, 0.000203347
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 362, 12.3514, 0.00019425
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 430, 11.1336, 0.000255574
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 512, 6.38456, 0.000235798
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 608, 18.3453, 0.000394337
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 724, 6.05831, 0.000392164
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 861, 5.95193, 0.000511565
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1024, 15.0743, 0.000494196
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1217, 25.349, 0.000807191
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1448, 22.9566, 0.00119485
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1722, 15.9214, 0.00158043
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2048, 50.2559, 0.00153249
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2435, 31.2571, 0.00303199
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2896, 13.6187, 0.00264312
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3444, 16.7054, 0.00297159
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4096, 41.5433, 0.00230863
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4870, 84.8676, 0.00370857
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 5792, 20.4682, 0.00398052
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 6888, 44.0272, 0.00480452
