# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 16, 5.08428, 1.8997e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 19, 3.74151, 8.381e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 22, 2.7268, 1.2851e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 26, 3.69267, 1.4527e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 32, 5.12512, 5.308e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 38, 10.1649, 6.984e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 45, 4.59897, 7.264e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 53, 6.24848, 7.542e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 64, 8.48267, 7.822e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 76, 0.649002, 1.2292e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 90, 6.17745, 1.0895e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 107, 4.0058, 1.2013e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 128, 6.99139, 2.9892e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 152, 12.8346, 2.0114e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 181, 3.00734, 2.0394e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 215, 3.89364, 2.1791e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 256, 7.77228, 2.3187e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 304, 6.2474, 3.9949e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 362, 12.3514, 3.967e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 430, 11.1336, 4.4419e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 512, 6.38456, 4.6933e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 608, 18.3453, 8.2134e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 724, 6.05831, 8.2412e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 861, 5.95193, 9.1912e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1024, 15.0743, 9.8896e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1217, 25.349, 0.000307581
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1448, 22.9566, 0.00015421
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1722, 15.9214, 0.00021148
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 2048, 50.2559, 0.000269308
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 2435, 31.2571, 0.000195555
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 2896, 13.6187, 0.000305067
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 3444, 16.7054, 0.000496991
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 4096, 41.5433, 0.00028635
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 4870, 84.8676, 0.000925258
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 5792, 20.4682, 0.000994819
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 6888, 44.0272, 0.000660699
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 8192, 105.398, 0.00153371
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 9741, 50.2525, 0.0014446
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 11585, 102.396, 0.00133704
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 13777, 48.408, 0.00128759
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 16384, 83.2001, 0.00103505
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 19483, 75.1435, 0.00178906
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 23170, 57.7327, 0.00226034
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 27554, 131.97, 0.0023394
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 32768, 114.539, 0.00141135
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 38967, 204.035, 0.00345966
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 46340, 106.822, 0.00570771
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 55108, 91.965, 0.0050783
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 65536, 61.2098, 0.00321438
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 77935, 232.701, 0.00878492
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 92681, 34.833, 0.00732495
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 110217, 158.456, 0.0142616
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 131072, 343.686, 0.0127804
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 155871, 106.199, 0.0195324
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 185363, 146.588, 0.0159294
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 220435, 118.499, 0.0193837
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 262144, 313.594, 0.0157313
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 311743, 382.887, 0.0353467
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 370727, 280.517, 0.0329978
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 440871, 118.337, 0.0358012
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 524288, 309.047, 0.0358213
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 623487, 655.52, 0.074645
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 741455, 96.6169, 0.0717211
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 881743, 161.942, 0.0838514
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1048576, 550.877, 0.0806913
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1246974, 103.408, 0.149756
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1482910, 265.466, 0.159119
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1763487, 1022.81, 0.181106
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 2097152, 1672.13, 0.175935
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 2493948, 1085.24, 0.340471
