# name, allowedP, trueP, n, [sentinel], time
hpce.direct_fourier_transform, 4, 4, 16, 5.08428, 0.000182516
hpce.direct_fourier_transform, 4, 4, 19, 4.44305, 9.4193e-05
hpce.direct_fourier_transform, 4, 4, 22, 3.74936, 0.000150373
hpce.direct_fourier_transform, 4, 4, 26, 6.00059, 0.000169659
hpce.direct_fourier_transform, 4, 4, 32, 5.12512, 0.000349381
hpce.direct_fourier_transform, 4, 4, 38, 12.0709, 0.000339319
hpce.direct_fourier_transform, 4, 4, 45, 6.4673, 0.000459226
hpce.direct_fourier_transform, 4, 4, 53, 10.349, 0.000568233
hpce.direct_fourier_transform, 4, 4, 64, 8.48267, 0.00116833
hpce.direct_fourier_transform, 4, 4, 76, 0.770689, 0.00140759
hpce.direct_fourier_transform, 4, 4, 90, 8.68704, 0.00192299
hpce.direct_fourier_transform, 4, 4, 107, 6.6972, 0.00210886
hpce.direct_fourier_transform, 4, 4, 128, 6.99139, 0.0053159
hpce.direct_fourier_transform, 4, 4, 152, 15.2411, 0.00577792
hpce.direct_fourier_transform, 4, 4, 181, 4.25256, 0.00755474
hpce.direct_fourier_transform, 4, 4, 215, 6.5401, 0.0102503
hpce.direct_fourier_transform, 4, 4, 256, 7.77228, 0.0150659
hpce.direct_fourier_transform, 4, 4, 304, 7.41879, 0.0212876
hpce.direct_fourier_transform, 4, 4, 362, 17.4657, 0.0265057
hpce.direct_fourier_transform, 4, 4, 430, 18.7009, 0.0388875
hpce.direct_fourier_transform, 4, 4, 512, 6.38456, 0.0587684
hpce.direct_fourier_transform, 4, 4, 608, 21.7851, 0.0817107
hpce.direct_fourier_transform, 4, 4, 724, 8.56682, 0.107569
hpce.direct_fourier_transform, 4, 4, 861, 10.009, 0.152989
hpce.direct_fourier_transform, 4, 4, 1024, 15.0743, 0.224361
hpce.direct_fourier_transform, 4, 4, 1217, 30.1267, 0.299853
hpce.direct_fourier_transform, 4, 4, 1448, 32.4621, 0.43528
hpce.direct_fourier_transform, 4, 4, 1722, 26.774, 0.60919
hpce.direct_fourier_transform, 4, 4, 2048, 50.2559, 0.870326
hpce.direct_fourier_transform, 4, 4, 2435, 37.1636, 1.19632
hpce.direct_fourier_transform, 4, 4, 2896, 19.2577, 1.7169
hpce.direct_fourier_transform, 4, 4, 3444, 28.0925, 2.43124
hpce.direct_fourier_transform, 4, 4, 4096, 41.5433, 3.44405
hpce.direct_fourier_transform, 4, 4, 4870, 100.905, 4.79665
hpce.direct_fourier_transform, 4, 4, 5792, 28.9433, 6.79395
hpce.direct_fourier_transform, 4, 4, 6888, 74.038, 9.68084
hpce.direct_fourier_transform, 4, 4, 8192, 105.398, 13.6764
hpce.direct_fourier_transform, 4, 4, 9741, 59.7546, 19.1539
