# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 16, 5.08428, 0.000279784
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 19, 4.44305, 3.5777e-05
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 22, 3.74936, 8.5249e-05
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 26, 6.00059, 6.4565e-05
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 32, 5.12512, 0.000108448
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 38, 12.0709, 0.000106212
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 45, 6.4673, 0.000136399
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 53, 10.349, 0.000164349
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 64, 8.48267, 0.000684507
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 76, 0.770689, 0.0027562
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 90, 8.68704, 0.000553699
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 107, 6.6972, 0.000651246
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 128, 6.99139, 0.0011415
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 152, 15.2411, 0.00111159
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 181, 4.25256, 0.00371322
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 215, 6.5401, 0.00320424
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 256, 7.77228, 0.00618376
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 304, 7.41879, 0.00558031
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 362, 17.4657, 0.0218349
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 430, 18.7009, 0.0130068
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 512, 6.38456, 0.0197386
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 608, 21.7851, 0.0234013
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 724, 8.56682, 0.029836
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 861, 10.009, 0.039851
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 1024, 15.0743, 0.0660308
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 1217, 30.1267, 0.0823589
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 1448, 32.4621, 0.126572
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 1722, 26.774, 0.167397
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 2048, 50.2559, 0.242766
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 2435, 37.1636, 0.319331
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 2896, 19.2577, 0.474847
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 3444, 28.0925, 0.705266
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 4096, 41.5433, 0.964605
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 4870, 100.905, 1.31567
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 5792, 28.9433, 1.8789
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 6888, 74.038, 2.68276
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 8192, 105.398, 3.83578
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 9741, 59.7546, 5.23098
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 11585, 144.806, 7.40567
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 13777, 81.4108, 10.5034
hpce.ywc110.direct_fourier_transform_parfor, 4, 4, 16384, 83.2001, 15.0371
