# name, allowedP, trueP, n, [sentinel], time
hpce.fast_fourier_transform, 4, 4, 16, 5.08428, 1.118e-05
hpce.fast_fourier_transform, 4, 4, 19, 3.74151, 5.869e-06
hpce.fast_fourier_transform, 4, 4, 22, 2.7268, 3.634e-06
hpce.fast_fourier_transform, 4, 4, 26, 3.69267, 3.913e-06
hpce.fast_fourier_transform, 4, 4, 32, 5.12512, 3.633e-06
hpce.fast_fourier_transform, 4, 4, 38, 10.1649, 5.311e-06
hpce.fast_fourier_transform, 4, 4, 45, 4.59897, 5.31e-06
hpce.fast_fourier_transform, 4, 4, 53, 6.24848, 5.87e-06
hpce.fast_fourier_transform, 4, 4, 64, 8.48267, 5.869e-06
hpce.fast_fourier_transform, 4, 4, 76, 0.649002, 9.783e-06
hpce.fast_fourier_transform, 4, 4, 90, 6.17745, 8.944e-06
hpce.fast_fourier_transform, 4, 4, 107, 4.0058, 1.0063e-05
hpce.fast_fourier_transform, 4, 4, 128, 6.99139, 1.0342e-05
hpce.fast_fourier_transform, 4, 4, 152, 12.8346, 1.7329e-05
hpce.fast_fourier_transform, 4, 4, 181, 3.00734, 3.3821e-05
hpce.fast_fourier_transform, 4, 4, 215, 3.89364, 1.9566e-05
hpce.fast_fourier_transform, 4, 4, 256, 7.77228, 2.0963e-05
hpce.fast_fourier_transform, 4, 4, 304, 6.2474, 3.7733e-05
hpce.fast_fourier_transform, 4, 4, 362, 12.3514, 6.4566e-05
hpce.fast_fourier_transform, 4, 4, 430, 11.1336, 4.2484e-05
hpce.fast_fourier_transform, 4, 4, 512, 6.38456, 4.3882e-05
hpce.fast_fourier_transform, 4, 4, 608, 18.3453, 7.7423e-05
hpce.fast_fourier_transform, 4, 4, 724, 6.05831, 7.7702e-05
hpce.fast_fourier_transform, 4, 4, 861, 5.95193, 8.7205e-05
hpce.fast_fourier_transform, 4, 4, 1024, 15.0743, 9.4193e-05
hpce.fast_fourier_transform, 4, 4, 1217, 25.349, 0.000211585
hpce.fast_fourier_transform, 4, 4, 1448, 22.9566, 0.000171895
hpce.fast_fourier_transform, 4, 4, 1722, 15.9214, 0.0001923
hpce.fast_fourier_transform, 4, 4, 2048, 50.2559, 0.000204318
hpce.fast_fourier_transform, 4, 4, 2435, 31.2571, 0.000398015
hpce.fast_fourier_transform, 4, 4, 2896, 13.6187, 0.000370344
hpce.fast_fourier_transform, 4, 4, 3444, 16.7054, 0.00043463
hpce.fast_fourier_transform, 4, 4, 4096, 41.5433, 0.000442176
hpce.fast_fourier_transform, 4, 4, 4870, 84.8676, 0.000305219
hpce.fast_fourier_transform, 4, 4, 5792, 20.4682, 0.000934385
hpce.fast_fourier_transform, 4, 4, 6888, 44.0272, 0.00100147
hpce.fast_fourier_transform, 4, 4, 8192, 105.398, 0.00147215
hpce.fast_fourier_transform, 4, 4, 9741, 50.2525, 0.00176619
hpce.fast_fourier_transform, 4, 4, 11585, 102.396, 0.00233498
hpce.fast_fourier_transform, 4, 4, 13777, 48.408, 0.00222737
hpce.fast_fourier_transform, 4, 4, 16384, 83.2001, 0.00255216
hpce.fast_fourier_transform, 4, 4, 19483, 75.1435, 0.00437956
hpce.fast_fourier_transform, 4, 4, 23170, 57.7327, 0.00478932
hpce.fast_fourier_transform, 4, 4, 27554, 131.97, 0.00582796
hpce.fast_fourier_transform, 4, 4, 32768, 114.539, 0.0305074
hpce.fast_fourier_transform, 4, 4, 38967, 204.035, 0.00990537
hpce.fast_fourier_transform, 4, 4, 46340, 106.822, 0.00902214
hpce.fast_fourier_transform, 4, 4, 55108, 91.965, 0.00977903
hpce.fast_fourier_transform, 4, 4, 65536, 61.2098, 0.0102366
hpce.fast_fourier_transform, 4, 4, 77935, 232.701, 0.0198345
hpce.fast_fourier_transform, 4, 4, 92681, 34.833, 0.018956
hpce.fast_fourier_transform, 4, 4, 110217, 158.456, 0.0201034
hpce.fast_fourier_transform, 4, 4, 131072, 343.686, 0.0220035
hpce.fast_fourier_transform, 4, 4, 155871, 106.199, 0.0468486
hpce.fast_fourier_transform, 4, 4, 185363, 146.588, 0.043591
hpce.fast_fourier_transform, 4, 4, 220435, 118.499, 0.0500716
hpce.fast_fourier_transform, 4, 4, 262144, 313.594, 0.0536308
hpce.fast_fourier_transform, 4, 4, 311743, 382.887, 0.105781
hpce.fast_fourier_transform, 4, 4, 370727, 280.517, 0.103794
hpce.fast_fourier_transform, 4, 4, 440871, 118.337, 0.115185
hpce.fast_fourier_transform, 4, 4, 524288, 309.047, 0.118769
hpce.fast_fourier_transform, 4, 4, 623487, 655.52, 0.230673
hpce.fast_fourier_transform, 4, 4, 741455, 96.6169, 0.216267
hpce.fast_fourier_transform, 4, 4, 881743, 161.942, 0.236796
hpce.fast_fourier_transform, 4, 4, 1048576, 550.877, 0.250449
hpce.fast_fourier_transform, 4, 4, 1246974, 103.408, 0.513236
hpce.fast_fourier_transform, 4, 4, 1482910, 265.466, 0.466909
hpce.fast_fourier_transform, 4, 4, 1763487, 1022.81, 0.541536
hpce.fast_fourier_transform, 4, 4, 2097152, 1672.13, 0.561806
hpce.fast_fourier_transform, 4, 4, 2493948, 1085.24, 1.05136
hpce.fast_fourier_transform, 4, 4, 2965820, 473.371, 1.032
hpce.fast_fourier_transform, 4, 4, 3526975, 836.634, 1.10528
hpce.fast_fourier_transform, 4, 4, 4194304, 1679.33, 1.17858
hpce.fast_fourier_transform, 4, 4, 4987896, 768.932, 2.18478
hpce.fast_fourier_transform, 4, 4, 5931641, 559.983, 2.11149
hpce.fast_fourier_transform, 4, 4, 7053950, 1307.88, 2.29177
hpce.fast_fourier_transform, 4, 4, 8388608, 2882.48, 2.50041
hpce.fast_fourier_transform, 4, 4, 9975792, 3553.85, 4.3001
hpce.fast_fourier_transform, 4, 4, 11863283, 1940.72, 4.58112
hpce.fast_fourier_transform, 4, 4, 14107900, 1159.23, 4.78512
hpce.fast_fourier_transform, 4, 4, 16777216, 3402.48, 5.23508
hpce.fast_fourier_transform, 4, 4, 19951584, 2187.89, 10.4728
hpce.fast_fourier_transform, 4, 4, 23726566, 3263.95, 12.0722
hpce.fast_fourier_transform, 4, 4, 28215801, 3521.84, 15.5258
