# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 16, 5.08428, 0.00076752
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 19, 3.74151, 4.5838e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 22, 2.7268, 2.0403e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 26, 3.69267, 2.9069e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 32, 5.12512, 2.4317e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 38, 10.1649, 3.941e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 45, 4.59897, 3.3261e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 53, 6.24848, 4.4162e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 64, 8.48267, 3.4938e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 76, 0.649002, 6.7082e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 90, 6.17745, 5.618e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 107, 4.0058, 8.9721e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 128, 6.99139, 5.7858e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 152, 12.8346, 0.000104256
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 181, 3.00734, 0.000119628
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 215, 3.89364, 0.00011851
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 256, 7.77228, 8.7205e-05
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 304, 6.2474, 0.000130809
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 362, 12.3514, 0.000174691
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 430, 11.1336, 0.000170498
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 512, 6.38456, 0.000159318
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 608, 18.3453, 0.000267486
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 724, 6.05831, 0.000281461
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 861, 5.95193, 0.00121976
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 1024, 15.0743, 0.000315282
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 1217, 25.349, 0.000516804
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 1448, 22.9566, 0.000535811
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 1722, 15.9214, 0.000634756
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 2048, 50.2559, 0.00118314
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 2435, 31.2571, 0.000462301
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 2896, 13.6187, 0.00132513
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 3444, 16.7054, 0.00209964
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 4096, 41.5433, 0.00141765
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 4870, 84.8676, 0.00227405
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 5792, 20.4682, 0.00228048
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 6888, 44.0272, 0.0035894
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 8192, 105.398, 0.00429068
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 9741, 50.2525, 0.00569128
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 11585, 102.396, 0.00504255
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 13777, 48.408, 0.00666898
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 16384, 83.2001, 0.00565382
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 19483, 75.1435, 0.00900788
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 23170, 57.7327, 0.0198611
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 27554, 131.97, 0.0145765
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 32768, 114.539, 0.0131661
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 38967, 204.035, 0.0201562
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 46340, 106.822, 0.0201229
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 55108, 91.965, 0.0235821
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 65536, 61.2098, 0.0225764
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 77935, 232.701, 0.0435446
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 92681, 34.833, 0.0444684
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 110217, 158.456, 0.050035
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 131072, 343.686, 0.0496378
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 155871, 106.199, 0.0862502
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 185363, 146.588, 0.0904816
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 220435, 118.499, 0.110502
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 262144, 313.594, 0.106728
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 311743, 382.887, 0.178153
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 370727, 280.517, 0.185553
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 440871, 118.337, 0.228359
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 524288, 309.047, 0.221474
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 623487, 655.52, 0.373746
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 741455, 96.6169, 0.402607
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 881743, 161.942, 0.471439
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 1048576, 550.877, 0.47503
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 1246974, 103.408, 0.803117
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 1482910, 265.466, 0.819423
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 1763487, 1022.81, 0.953933
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 2097152, 1672.13, 1.01524
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 2493948, 1085.24, 1.60972
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 2965820, 473.371, 1.68375
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 3526975, 836.634, 1.95334
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 4194304, 1679.33, 1.98553
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 4987896, 768.932, 3.36645
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 5931641, 559.983, 3.53522
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 7053950, 1307.88, 4.18669
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 8388608, 2882.48, 4.3298
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 9975792, 3553.85, 6.89081
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 11863283, 1940.72, 7.10046
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 14107900, 1159.23, 8.46037
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 16777216, 3402.48, 8.71062
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 19951584, 2187.89, 14.2315
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 23726566, 3263.95, 14.9795
hpce.ywc110.fast_fourier_transform_combined, 4, 4, 28215801, 3521.84, 17.3309
