# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 16, 5.08428, 1.3975e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 19, 3.74151, 6.987e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 22, 2.7268, 4.472e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 26, 3.69267, 5.031e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 32, 5.12512, 4.752e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 38, 10.1649, 6.149e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 45, 4.59897, 6.429e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 53, 6.24848, 6.708e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 64, 8.48267, 6.708e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 76, 0.649002, 1.0901e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 90, 6.17745, 9.783e-06
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 107, 4.0058, 1.0621e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 128, 6.99139, 1.118e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 152, 12.8346, 1.9286e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 181, 3.00734, 1.9286e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 215, 3.89364, 2.0124e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 256, 7.77228, 2.1522e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 304, 6.2474, 6.0932e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 362, 12.3514, 4.4721e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 430, 11.1336, 4.1926e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 512, 6.38456, 4.3882e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 608, 18.3453, 7.6584e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 724, 6.05831, 7.6864e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 861, 5.95193, 6.0373e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1024, 15.0743, 9.2795e-05
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1217, 25.349, 0.000962335
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1448, 22.9566, 0.000249598
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 1722, 15.9214, 0.000160995
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 2048, 50.2559, 0.000223883
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 2435, 31.2571, 0.00018615
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 2896, 13.6187, 0.000318076
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 3444, 16.7054, 0.000376772
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 4096, 41.5433, 0.000273076
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 4870, 84.8676, 0.000704352
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 5792, 20.4682, 0.000532457
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 6888, 44.0272, 0.000495562
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 8192, 105.398, 0.000401369
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 9741, 50.2525, 0.00110824
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 11585, 102.396, 0.00095982
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 13777, 48.408, 0.00120299
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 16384, 83.2001, 0.00144057
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 19483, 75.1435, 0.00200796
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 23170, 57.7327, 0.00167759
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 27554, 131.97, 0.00268436
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 32768, 114.539, 0.00154035
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 38967, 204.035, 0.00401704
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 46340, 106.822, 0.00422695
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 55108, 91.965, 0.00411263
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 65536, 61.2098, 0.00328418
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 77935, 232.701, 0.00701222
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 92681, 34.833, 0.00801005
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 110217, 158.456, 0.00683753
hpce.ywc110.fast_fourier_transform_opt, 4, 4, 131072, 343.686, 0.00674054
