# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 16, 5.08428, 3.1585e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 19, 3.74151, 0.000680035
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 22, 2.7268, 1.3975e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 26, 3.69267, 1.09e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 32, 5.12512, 1.0901e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 38, 10.1649, 2.3199e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 45, 4.59897, 2.0963e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 53, 6.24848, 3.5776e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 64, 8.48267, 2.264e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 76, 0.649002, 3.7454e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 90, 6.17745, 4.1087e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 107, 4.0058, 3.9969e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 128, 6.99139, 4.6677e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 152, 12.8346, 8.2174e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 181, 3.00734, 7.938e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 215, 3.89364, 8.6926e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 256, 7.77228, 8.9442e-05
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 304, 6.2474, 0.000162672
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 362, 12.3514, 0.000179163
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 430, 11.1336, 0.000173014
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 512, 6.38456, 0.000284536
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 608, 18.3453, 0.000387673
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 724, 6.05831, 0.000323387
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 861, 5.95193, 0.000628327
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 1024, 15.0743, 0.000507301
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 1217, 25.349, 0.000842148
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 1448, 22.9566, 0.00165159
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 1722, 15.9214, 0.00083013
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 2048, 50.2559, 0.0022707
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 2435, 31.2571, 0.00192775
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 2896, 13.6187, 0.0018151
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 3444, 16.7054, 0.00204653
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 4096, 41.5433, 0.00243728
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 4870, 84.8676, 0.00529718
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 5792, 20.4682, 0.00524379
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 6888, 44.0272, 0.00553
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 8192, 105.398, 0.00458584
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 9741, 50.2525, 0.00847486
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 11585, 102.396, 0.00777471
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 13777, 48.408, 0.00895394
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 16384, 83.2001, 0.00909481
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 19483, 75.1435, 0.0150002
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 23170, 57.7327, 0.0163508
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 27554, 131.97, 0.0173181
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 32768, 114.539, 0.0191343
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 38967, 204.035, 0.0315782
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 46340, 106.822, 0.0331853
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 55108, 91.965, 0.0365126
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 65536, 61.2098, 0.0398166
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 77935, 232.701, 0.0687923
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 92681, 34.833, 0.0704794
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 110217, 158.456, 0.0789422
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 131072, 343.686, 0.0849247
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 155871, 106.199, 0.144479
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 185363, 146.588, 0.146736
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 220435, 118.499, 0.152797
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 262144, 313.594, 0.164101
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 311743, 382.887, 0.278444
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 370727, 280.517, 0.27504
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 440871, 118.337, 0.320706
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 524288, 309.047, 0.328456
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 623487, 655.52, 0.563058
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 741455, 96.6169, 0.566534
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 881743, 161.942, 0.612522
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 1048576, 550.877, 0.695409
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 1246974, 103.408, 1.14669
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 1482910, 265.466, 1.19941
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 1763487, 1022.81, 1.27661
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 2097152, 1672.13, 1.43361
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 2493948, 1085.24, 2.35465
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 2965820, 473.371, 2.42185
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 3526975, 836.634, 2.5869
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 4194304, 1679.33, 3.01402
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 4987896, 768.932, 4.86622
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 5931641, 559.983, 5.00071
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 7053950, 1307.88, 5.41226
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 8388608, 2882.48, 6.07797
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 9975792, 3553.85, 10.1699
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 11863283, 1940.72, 10.4777
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 14107900, 1159.23, 11.3308
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 16777216, 3402.48, 12.8427
hpce.ywc110.fast_fourier_transform_parfor, 4, 4, 19951584, 2187.89, 21.1872
