# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 16, 5.08428, 0.00015233
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 19, 3.74151, 1.8168e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 22, 2.7268, 1.2578e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 26, 3.69267, 1.2019e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 32, 5.12512, 1.8447e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 38, 10.1649, 2.0962e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 45, 4.59897, 1.677e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 53, 6.24848, 1.677e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 64, 8.48267, 1.5652e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 76, 0.649002, 2.1242e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 90, 6.17745, 2.1801e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 107, 4.0058, 2.5994e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 128, 6.99139, 3.0746e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 152, 12.8346, 4.1647e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 181, 3.00734, 3.5497e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 215, 3.89364, 3.9131e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 256, 7.77228, 4.1088e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 304, 6.2474, 7.4069e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 362, 12.3514, 5.7299e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 430, 11.1336, 6.2889e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 512, 6.38456, 7.0714e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 608, 18.3453, 9.6149e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 724, 6.05831, 9.056e-05
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 861, 5.95193, 0.000110684
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 1024, 15.0743, 0.000104535
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 1217, 25.349, 0.000334008
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 1448, 22.9566, 0.000174411
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 1722, 15.9214, 0.000209908
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 2048, 50.2559, 0.000201523
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 2435, 31.2571, 0.000360841
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 2896, 13.6187, 0.000436866
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 3444, 16.7054, 0.000476276
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 4096, 41.5433, 0.000425966
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 4870, 84.8676, 0.00114457
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 5792, 20.4682, 0.000857241
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 6888, 44.0272, 0.00100426
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 8192, 105.398, 0.00123765
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 9741, 50.2525, 0.00183942
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 11585, 102.396, 0.00202949
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 13777, 48.408, 0.00273887
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 16384, 83.2001, 0.00345803
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 19483, 75.1435, 0.0042004
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 23170, 57.7327, 0.00429291
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 27554, 131.97, 0.00548864
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 32768, 114.539, 0.00492208
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 38967, 204.035, 0.00851903
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 46340, 106.822, 0.0083776
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 55108, 91.965, 0.00843573
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 65536, 61.2098, 0.00773194
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 77935, 232.701, 0.0132024
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 92681, 34.833, 0.0126191
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 110217, 158.456, 0.0160701
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 131072, 343.686, 0.0141114
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 155871, 106.199, 0.0285567
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 185363, 146.588, 0.0285131
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 220435, 118.499, 0.034184
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 262144, 313.594, 0.0346522
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 311743, 382.887, 0.0596773
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 370727, 280.517, 0.062315
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 440871, 118.337, 0.0745772
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 524288, 309.047, 0.0748805
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 623487, 655.52, 0.132039
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 741455, 96.6169, 0.130944
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 881743, 161.942, 0.152272
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 1048576, 550.877, 0.162242
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 1246974, 103.408, 0.267881
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 1482910, 265.466, 0.282141
hpce.ywc110.fast_fourier_transform_taskgroup, 4, 4, 1763487, 1022.81, 0.327223
