# name, allowedP, trueP, n, [sentinel], time
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16, 5.08428, 4.3597e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19, 3.74151, 8.6507e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 22, 2.7268, 2.4221e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 26, 3.69267, 3.0001e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32, 5.12512, 1.7806e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38, 10.1649, 6.8958e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 45, 4.59897, 3.6997e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 53, 6.24848, 4.7318e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 64, 8.48267, 4.2394e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 76, 0.649002, 7.6862e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 90, 6.17745, 8.769e-05
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 107, 4.0058, 0.000340433
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 128, 6.99139, 0.000345483
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 152, 12.8346, 0.00047423
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 181, 3.00734, 0.00042235
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 215, 3.89364, 0.000550648
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 256, 7.77228, 0.000533783
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 304, 6.2474, 0.000572823
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 362, 12.3514, 0.000602312
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 430, 11.1336, 0.000688797
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 512, 6.38456, 0.000641187
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 608, 18.3453, 0.000866201
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 724, 6.05831, 0.000797142
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 861, 5.95193, 0.00117352
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1024, 15.0743, 0.00125691
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1217, 25.349, 0.00179861
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1448, 22.9566, 0.000601046
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1722, 15.9214, 0.000730416
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2048, 50.2559, 0.000463299
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2435, 31.2571, 0.000818742
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2896, 13.6187, 0.000796046
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3444, 16.7054, 0.000974265
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4096, 41.5433, 0.00101807
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4870, 84.8676, 0.00163978
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 5792, 20.4682, 0.00170428
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 6888, 44.0272, 0.00374144
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 8192, 105.398, 0.00270259
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 9741, 50.2525, 0.00356085
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 11585, 102.396, 0.00348705
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 13777, 48.408, 0.00399988
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 16384, 83.2001, 0.00388616
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 19483, 75.1435, 0.006952
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 23170, 57.7327, 0.00694254
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 27554, 131.97, 0.0081028
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 32768, 114.539, 0.00802396
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 38967, 204.035, 0.0133651
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 46340, 106.822, 0.0137391
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 55108, 91.965, 0.0173306
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 65536, 61.2098, 0.0165122
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 77935, 232.701, 0.0308628
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 92681, 34.833, 0.0292729
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 110217, 158.456, 0.0358135
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 131072, 343.686, 0.0334129
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 155871, 106.199, 0.0626975
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 185363, 146.588, 0.0622504
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 220435, 118.499, 0.0731371
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 262144, 313.594, 0.0763462
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 311743, 382.887, 0.123468
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 370727, 280.517, 0.12947
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 440871, 118.337, 0.148346
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 524288, 309.047, 0.148801
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 623487, 655.52, 0.269221
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 741455, 96.6169, 0.274757
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 881743, 161.942, 0.320999
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1048576, 550.877, 0.331724
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1246974, 103.408, 0.56114
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1482910, 265.466, 0.583577
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 1763487, 1022.81, 0.668927
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2097152, 1672.13, 0.694414
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2493948, 1085.24, 1.12758
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 2965820, 473.371, 1.16568
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 3526975, 836.634, 1.34442
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4194304, 1679.33, 1.35862
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 4987896, 768.932, 2.38826
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 5931641, 559.983, 2.50435
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 7053950, 1307.88, 2.88747
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 8388608, 2882.48, 2.88632
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 9975792, 3553.85, 4.91823
hpce.ywc110.fast_fourier_transform_opt, 8, 8, 11863283, 1940.72, 5.17779
